a	aː
fasteignasalans	f a s t ei k n a s aː l a n s
fasteignasölunni	f a s t ei k n a s œː l ʏ n ɪ
fasteignaveðbréfinu	f a s t ei k n a v ɛ ð p r j ɛ v ɪ n ʏ
fasteignaveðbréfsins	f a s t ei k n a v ɛ ð p r j ɛ f s ɪ n s
fasteigninni	f a s t ei k n ɪ n ɪ
fasteignum	f a s t ei k n ʏ m
fastir	f a s t ɪ r
fastmæltur	f a s t m ai l̥ t ʏ r
fastra	f a s t r a
fastri	f a s t r ɪ
fastur	f a s t ʏ r
fat	f aː t
fata	f aː t a
fatah	f aː t a h
fatahenginu	f aː t a h ei ɲ c ɪ n ʏ
fatahengið	f aː t a h ei ɲ c ɪ ð
fatanna	f aː t a n a
fatinu	f aː t ɪ n ʏ
fatið	f aː t ɪ ð
fatla	f a h t l a
fatlana	f a h t l a n a
fatlað	f a h t l a ð
fatlaða	f a h t l a ð a
fatlaðir	f a h t l a ð ɪ r
fatlaðra	f a h t l a ð r a
fatnað	f a h t n a ð
fatnaði	f a h t n a ð ɪ
fatta	f a h t a
fattar	f a h t a r
fattað	f a h t a ð
fautinn	f œyː t ɪ n
fax	f a k s
faxa	f a k s a
faxafeni	f a k s a f ɛː n ɪ
faxaflói	f a k s a f l ouː ɪ
faxað	f a k s a ð
faxið	f a k s ɪ ð
faðerni	f aː ð ɛ r t n ɪ
faðir	f aː ð ɪ r
faðirinn	f aː ð ɪ r ɪ n
faðirvorið	f aː ð ɪ r v ɔː r ɪ ð
faðm	f a ð m
faðma	f a ð m a
faðmar	f a ð m a r
faðmaði	f a ð m a ð ɪ
faðmi	f a ð m ɪ
faðminn	f a ð m ɪ n
faðmlag	f a ð m l a ɣ
faðmlagi	f a ð m l ai j ɪ
faðmlagið	f a ð m l ai j ɪ ð
faðmlögin	f a ð m l œy j ɪ n
faðmlögum	f a ð m l œ ɣ ʏ m
faðmur	f a ð m ʏ r
febrúar	f ɛː p r u a r
fegin	f ei j ɪ n
feginleik	f ei j ɪ n l ei k
feginn	f ei j ɪ n
fegins	f ei j ɪ n s
feginsamlega	f ei j ɪ n s a m l ɛ ɣ a
fegnir	f ei k n ɪ r
fegra	f ɛ ɣ r a
fegri	f ɛ ɣ r ɪ
fegurra	f ɛː ɣ ʏ r a
fegurri	f ɛː ɣ ʏ r ɪ
fegurst	f ɛː ɣ ʏ r s t
fegursta	f ɛː ɣ ʏ r s t a
fegurstu	f ɛː ɣ ʏ r s t ʏ
fegurð	f ɛː ɣ ʏ r ð
fegurðar	f ɛː ɣ ʏ r ð a r
fegurðin	f ɛː ɣ ʏ r ð ɪ n
fegurðina	f ɛː ɣ ʏ r ð ɪ n a
feikilega	f eiː c ɪ l ɛ ɣ a
feikna	f ei h k n a
feimin	f eiː m ɪ n
feiminn	f eiː m ɪ n
feimna	f ei m n a
feimnar	f ei m n a r
feimni	f ei m n ɪ
feimnina	f ei m n ɪ n a
feimnir	f ei m n ɪ r
feimnismál	f ei m n ɪ s m auː l
feit	f eiː t
feitan	f eiː t a n
feitar	f eiː t a r
feitari	f eiː t a r ɪ
feitir	f eiː t ɪ r
feitlagin	f eiː t l ai j ɪ n
feitlaginn	f eiː t l ai j ɪ n
feitlagna	f ei t l a k n a
feitletraður	f eiː t l ɛ t r a ð ʏ r
feitt	f ei h t
feitu	f eiː t ʏ
feitum	f eiː t ʏ m
feitur	f eiː t ʏ r
fel	f ɛː l
fela	f ɛː l a
felast	f ɛː l a s t
feld	f ɛ l t
feldi	f ɛ l t ɪ
feldinn	f ɛ l t i n
feldinum	f ɛ l t ɪ n ʏ m
feldspat	f ɛ l t s p a t
feldur	f ɛ l t ʏ r
feldurinn	f ɛ l t ʏ r ɪ n
felgunni	f ɛ l k ʏ n ɪ
felgur	f ɛ l k ʏ r
felgurnar	f ɛ l k ʏ t n a r
feli	f ɛː l ɪ
felist	f ɛː l ɪ s t
felix	f ɛː l ɪ k s
fella	f ɛ t l a
felldar	f ɛ l t a r
felldi	f ɛ l t ɪ
felldir	f ɛ l t ɪ r
felldu	f ɛ l t ʏ
felldur	f ɛ l t ʏ r
felli	f ɛ t l ɪ
fellibylsins	f ɛ t l ɪ p ɪ l s ɪ n s
fellihjólhýsi	f ɛ t l ɪ ç ou l h i s ɪ
fellihýsi	f ɛ t l ɪ h iː s ɪ
fellihýsinu	f ɛ t l ɪ h iː s ɪ n ʏ
fellingar	f ɛ t l i ŋ k a r
fellingum	f ɛ t l i ŋ k ʏ m
fellinu	f ɛ t l ɪ n ʏ
fellir	f ɛ t l ɪ r
fellsbrotið	f ɛ l s p r ɔ t ɪ ð
fellsmúla	f ɛ l s m u l a
fellst	f ɛ l s t
fellt	f ɛ l̥ t
fellur	f ɛ t l ʏ r
felmtruð	f ɛ l̥ m̥ t r ʏ ð
felst	f ɛ l s t
felum	f ɛː l ʏ m
felumara	f ɛː l ʏ m a r a
felur	f ɛː l ʏ r
felustaður	f ɛː l ʏ s t aː ð ʏ r
fen	f ɛː n
feneyja	f ɛː n ei j a
feneyjum	f ɛː n ei j ʏ m
feng	f ei ŋ k
fengi	f ei ɲ c ɪ
fenginn	f ei ɲ c ɪ n
fenginni	f ei ɲ c ɪ n ɪ
fengir	f ei ɲ c ɪ r
fengist	f ei ɲ c ɪ s t
fengið	f ei ɲ c ɪ ð
fengju	f ei ɲ c ʏ
fengjum	f ei ɲ c ʏ m
fengjust	f ei ɲ c ʏ s t
fengjuð	f ei ɲ c ʏ ð
fengnar	f ei ŋ n a r
fengnir	f ei ŋ n ɪ r
fengnu	f ei ŋ n ʏ
fengnum	f ei ŋ n ʏ m
fengum	f ei ŋ k ʏ m
fengur	f ei ŋ k ʏ r
fengust	f ei ŋ k ʏ s t
fenguð	f ei ŋ k ʏ ð
fenið	f ɛː n ɪ ð
fenjagras	f ɛ n j a k r a s
fenjum	f ɛ n j ʏ m
fennir	f ɛ n ɪ r
fenrisúlf	f ɛ n r ɪ s u l v
fer	f ɛː r
ferdinand	f ɛ r t ɪ n a n t
ferflötungar	f ɛ r̥ f l œ t u ŋ k a r
ferhyrnd	f ɛː r h ɪ n t
ferhyrndur	f ɛː r h ɪ r n t ʏ r
ferhyrnt	f ɛː r h ɪ n̥ t
feril	f ɛː r ɪ l
ferilinn	f ɛː r ɪ l ɪ n
ferill	f ɛː r ɪ t l̥
ferils	f ɛː r ɪ l s
ferja	f ɛ r j a
ferjan	f ɛ r j a n
ferju	f ɛ r j ʏ
ferjuna	f ɛ r j ʏ n a
ferjunnar	f ɛ r j ʏ n a r
ferjunni	f ɛ r j ʏ n ɪ
ferjur	f ɛ r j ʏ r
ferkantað	f ɛ r̥ k a n̥ t a ð
ferkílómetrar	f ɛ r̥ c i l ou m ɛː t r a r
ferlar	f ɛ r l a r
ferlega	f ɛ r l ɛ ɣ a
ferlegt	f ɛ r l ɛ x t
ferli	f ɛ r t l ɪ
ferlinu	f ɛ r t l ɪ n ʏ
ferlinum	f ɛ r t l ɪ n ʏ m
ferlið	f ɛ r t l ɪ ð
ferlum	f ɛ r t l ʏ m
ferlíki	f ɛ r l i c ɪ
ferma	f ɛ r m a
fermast	f ɛ r m a s t
fermat	f ɛ r m a t
fermd	f ɛ r m t
fermdist	f ɛ r m t ɪ s t
fermdur	f ɛ r m t ʏ r
fermetra	f ɛ r m ɛ t r a
fermetrar	f ɛ r m ɛ t r a r
fermetrum	f ɛ r m ɛ t r ʏ m
ferming	f ɛ r m i ŋ k
fermingar	f ɛ r m i ŋ k a r
fermingarpeningunum	f ɛ r m i ŋ k a r pʰ ɛː n i ŋ k ɔ n ʏ m
fermingarsysturnar	f ɛ r m i ŋ k a r s ɪ s t ʏ t n a r
fermingarveislum	f ɛ r m i ŋ k a r v ei s t l ʏ m
fermingin	f ɛ r m i ɲ c ɪ n
fermingu	f ɛ r m i ŋ k ʏ
ferminguna	f ɛ r m i ŋ k ʏ n a
fern	f ɛ r t n̥
fernar	f ɛ r t n a r
ferningur	f ɛ r t n i ŋ k ʏ r
fernir	f ɛ r t n ɪ r
fernu	f ɛ r t n ʏ
fernum	f ɛ r t n ʏ m
ferrari	f ɛ r a r i
ferrarí	f ɛ r a r i
fersk	f ɛ r̥ s k
ferska	f ɛ r̥ s k a
ferskan	f ɛ r̥ s k a n
ferskir	f ɛ r̥ s c ɪ r
ferskjur	f ɛ r̥ s c ʏ r
ferskjurnar	f ɛ r̥ s c ʏ t n a r
ferskleika	f ɛ r̥ s k l ei k a
ferskri	f ɛ r̥ s k r ɪ
fersksíldar	f ɛ r̥ s k s i l t a r
ferskt	f ɛ r̥ s t
fersku	f ɛ r̥ s k ʏ
ferskum	f ɛ r̥ s k ʏ m
ferskur	f ɛ r̥ s k ʏ r
ferst	f ɛ r̥ s t
fertugasta	f ɛ r̥ t ʏ ɣ a s t a
fertugasti	f ɛ r̥ t ʏ ɣ a s t ɪ
fertugs	f ɛ r̥ t ʏ x s
fertugt	f ɛ r̥ t ʏ x t
fertugur	f ɛ r̥ t ʏ ɣ ʏ r
fertugustu	f ɛ r̥ t ʏ ɣ ʏ s t ʏ
ferð	f ɛ r ð
ferða	f ɛ r ð a
ferðalaginu	f ɛ r ð a l ai j ɪ n ʏ
ferðalangar	f ɛ r ð a l au ŋ k a r
ferðalangarnir	f ɛ r ð a l au ŋ k a t n ɪ r
ferðar	f ɛ r ð a r
ferðarinnar	f ɛ r ð a r ɪ n a r
ferðaskrifstofan	f ɛ r ð a s k r ɪ f s t ɔ v a n
ferðaskrifstofunnar	f ɛ r ð a s k r ɪ f s t ɔ v ʏ n a r
ferðast	f ɛ r ð a s t
ferðatöskuna	f ɛ r ð a t œ s k ʏ n a
ferðaðist	f ɛ r ð a ð ɪ s t
ferðaþjónustuna	f ɛ r ð a θ j ouː n ʏ s t ʏ n a
ferðaþjónustunnar	f ɛ r ð a θ j ouː n ʏ s t ʏ n a r
ferðaþjónustunni	f ɛ r ð a θ j ouː n ʏ s t ʏ n ɪ
ferðbúinn	f ɛ r ð p u i n
ferðin	f ɛ r ð ɪ n
ferðinni	f ɛ r ð ɪ n ɪ
ferðir	f ɛ r ð ɪ r
ferðirnar	f ɛ r ð ɪ t n a r
ferðist	f ɛ r ð ɪ s t
ferðu	f ɛ r ð ʏ
ferðum	f ɛ r ð ʏ m
ferðunum	f ɛ r ð ɔ n ʏ m
ferðuðumst	f ɛ r ð ʏ ð ʏ m s t
ferðuðust	f ɛ r ð ʏ ð ʏ s t
fest	f ɛ s t
festa	f ɛ s t a
festar	f ɛ s t a r
festast	f ɛ s t a s t
festi	f ɛ s t ɪ
festina	f ɛ s t ɪ n a
festingar	f ɛ s t i ŋ k a r
festingunni	f ɛ s t i ŋ k ʏ n ɪ
festir	f ɛ s t ɪ r
festist	f ɛ s t ɪ s t
festu	f ɛ s t ʏ
festulega	f ɛ s t ʏ l ɛ ɣ a
festum	f ɛ s t ʏ m
festur	f ɛ s t ʏ r
festust	f ɛ s t ʏ s t
fet	f ɛː t
feta	f ɛː t a
fetar	f ɛː t a r
fetað	f ɛː t a ð
fetaði	f ɛː t a ð ɪ
feti	f ɛː t ɪ
fets	f ɛː t s
fetum	f ɛː t ʏ m
fetuðu	f ɛː t ʏ ð ʏ
fetuðum	f ɛː t ʏ ð ʏ m
feykt	f ei x t
feyktist	f ei x t ɪ s t
feyktust	f ei x t ʏ s t
feðga	f ɛ ð k a
feðgar	f ɛ ð k a r
feðgarnir	f ɛ ð k a t n ɪ r
feðginin	f ɛ ð c ɪ n ɪ n
feðgum	f ɛ ð k ʏ m
feðra	f ɛ ð r a
feðranna	f ɛ ð r a n a
feðraorlofinu	f ɛ ð r a ɔ r l ɔ v ɪ n ʏ
feðraorlofs	f ɛ ð r a ɔ r l ɔ f s
feðrum	f ɛ ð r ʏ m
fiffar	f ɪ f a r
fikra	f ɪː k r a
fikruðu	f ɪː k r ʏ ð ʏ
fikta	f ɪ x t a
fiktaði	f ɪ x t a ð ɪ
filippseyja	f ɪː l ɪ h p s ei j a
filmu	f ɪ l m ʏ
filmum	f ɪ l m ʏ m
filmuna	f ɪ l m ʏ n a
filmundur	f ɪ l m ʏ n t ʏ r
filmunnar	f ɪ l m ʏ n a r
filmunni	f ɪ l m ʏ n ɪ
filmunum	f ɪ l m ɔ n ʏ m
filmur	f ɪ l m ʏ r
filmurnar	f ɪ l m ʏ t n a r
fim	f ɪː m
fima	f ɪː m a
fimbulfamb	f ɪ m p ʏ l f a m p
fimi	f ɪː m ɪ
fimlega	f ɪ m l ɛ ɣ a
fimleika	f ɪ m l ei k a
fimleikum	f ɪ m l ei k ʏ m
fimm	f ɪ m
fimmgangi	f ɪ m k au ɲ c ɪ
fimmgangur	f ɪ m k au ŋ k ʏ r
fimmhundruð	f ɪ m h ʏ n t r ʏ ð
fimmhundruðkall	f ɪ m h ʏ n t r ʏ ð k a t l̥
fimmleytið	f ɪ m l ei t ɪ ð
fimmta	f ɪ m̥ t a
fimmti	f ɪ m̥ t ɪ
fimmtu	f ɪ m̥ t ʏ
fimmtug	f ɪ m̥ t ʏ ɣ
fimmtugar	f ɪ m̥ t ʏ ɣ a r
fimmtugasta	f ɪ m̥ t ʏ ɣ a s t a
fimmtugasti	f ɪ m̥ t ʏ ɣ a s t ɪ
fimmtugt	f ɪ m̥ t ʏ x t
fimmtugur	f ɪ m̥ t ʏ ɣ ʏ r
fimmtugustu	f ɪ m̥ t ʏ ɣ ʏ s t ʏ
fimmtung	f ɪ m̥ t u ŋ k
fimmtungur	f ɪ m̥ t u ŋ k ʏ r
fimmtán	f ɪ m̥ t au n
fimmtánda	f ɪ m̥ t au n t a
fimmtándi	f ɪ m̥ t au n t ɪ
fimmtándu	f ɪ m̥ t au n t ʏ
fimmtíu	f ɪ m̥ t i j ʏ
fimmtíukall	f ɪ m̥ t i j ʏ k a t l̥
fingri	f i ŋ k r ɪ
fingrinum	f i ŋ k r ɪ n ʏ m
fingrum	f i ŋ k r ʏ m
fingurgómana	f i ŋ k ʏ r k ouː m a n a
fingurgómarnir	f i ŋ k ʏ r k ouː m a t n ɪ r
fingurinn	f i ŋ k ʏ r ɪ n
fingurmissir	f i ŋ k ʏ r m ɪ s ɪ r
fingurna	f i ŋ k ʏ t n a
fingurnir	f i ŋ k ʏ t n ɪ r
finkur	f i ŋ̊ k ʏ r
finn	f ɪ n
finna	f ɪ n a
finnandi	f ɪ n a n t ɪ
finnar	f ɪ n a r
finnast	f ɪ n a s t
finnbjörnsson	f ɪ n p j œ r̥ s ɔː n
finnboga	f ɪ m p ɔ ɣ a
finndu	f ɪ n t ʏ
finney	f ɪ n ei
finni	f ɪ n ɪ
finninn	f ɪ n ɪ n
finnir	f ɪ n ɪ r
finnist	f ɪ n ɪ s t
finnland	f ɪ n l a n t
finnlandi	f ɪ n l a n t ɪ
finnlands	f ɪ n l a n t s
finnmörku	f ɪ n m œ r̥ k ʏ
finns	f ɪ n s
finnsk	f ɪ n s k
finnska	f ɪ n s k a
finnski	f ɪ n s c ɪ
finnsku	f ɪ n s k ʏ
finnskum	f ɪ n s k ʏ m
finnst	f ɪ n s t
finnum	f ɪ n ʏ m
finnur	f ɪ n ʏ r
fipast	f ɪː p a s t
fipaðist	f ɪː p a ð ɪ s t
firnasterku	f ɪ r t n a s t ɛ r̥ k ʏ
firnindi	f ɪ r t n ɪ n t ɪ
firra	f ɪ r a
firringu	f ɪ r i ŋ k ʏ
firði	f ɪ r ð ɪ
firðinum	f ɪ r ð ɪ n ʏ m
firðirnir	f ɪ r ð ɪ t n ɪ r
fis	f ɪː s
fisk	f ɪ s k
fiska	f ɪ s k a
fiskabúrinu	f ɪ s k a p u r ɪ n ʏ
fiskakvíslinni	f ɪ s k a kʰ v i s t l ɪ n ɪ
fiskar	f ɪ s k a r
fiskarnir	f ɪ s k a t n ɪ r
fiskaði	f ɪ s k a ð ɪ
fiski	f ɪ s c ɪ
fiskibátunum	f ɪ s c ɪ p auː t ʏ n ʏ m
fiskiendur	f ɪ s c ɪ ɛ n t ʏ r
fiskiflugan	f ɪ s c ɪ f l ʏː ɣ a n
fiskifræðinga	f ɪ s c ɪ f r aiː ð i ŋ k a
fiskimiðin	f ɪ s c ɪ m ɪː ð ɪ n
fiskimjöli	f ɪ s c ɪ m j œː l ɪ
fiskimjöls	f ɪ s c ɪ m j œ l s
fiskimjölsverksmiðjunnar	f ɪ s c ɪ m j œ l s v ɛ r̥ k s m ɪ ð j ʏ n a r
fiskimjölsverksmiðjur	f ɪ s c ɪ m j œ l s v ɛ r̥ k s m ɪ ð j ʏ r
fiskinn	f ɪ s c ɪ n
fiskinnflytjandinn	f ɪ s k ɪ n f l ɪ t j a n t ɪ n
fiskinum	f ɪ s c ɪ n ʏ m
fiskipönnukökur	f ɪ s c ɪ p œ n ʏ kʰ œː k ʏ r
fiskjar	f ɪ s c a r
fiskpinna	f ɪ s k p ɪ n a
fisks	f ɪ s k s
fisksins	f ɪ s k s ɪ n s
fisktegundinni	f ɪ s k tʰ ɛ ɣ ʏ n t ɪ n ɪ
fiskum	f ɪ s k ʏ m
fiskunum	f ɪ s k ɔ n ʏ m
fiskur	f ɪ s k ʏ r
fiskurinn	f ɪ s k ʏ r ɪ n
fiskveiðiár	f ɪ s k v ei ð ɪ auː r
fiskveiðiárs	f ɪ s k v ei ð ɪ au r̥ s
fit	f ɪː t
fita	f ɪː t a
fitja	f ɪː t j a
fitjaði	f ɪː t j a ð ɪ
fitla	f ɪ h t l a
fitlar	f ɪ h t l a r
fitlaði	f ɪ h t l a ð ɪ
fitnað	f ɪ h t n a ð
fitness	f ɪ h t n ɛ s
fitu	f ɪː t ʏ
fituhlunk	f ɪː t ʏ l̥ u ŋ̊ k
fitusog	f ɪː t ʏ s ɔ ɣ
fitusýran	f ɪː t ʏ s iː r a n
fitusýrunum	f ɪː t ʏ s iː r ɔ n ʏ m
fix	f ɪ k s
fiðlu	f ɪ ð l ʏ
fiðluna	f ɪ ð l ʏ n a
fiðlur	f ɪ ð l ʏ r
fiðlusnillingsins	f ɪ ð l ʏ s t n ɪ t l i ŋ s ɪ n s
fiðrildanna	f ɪ ð r ɪ l t a n a
fiðrildi	f ɪ ð r ɪ l t ɪ
fiðrildið	f ɪ ð r ɪ l t ɪ ð
fiðrildum	f ɪ ð r ɪ l t ʏ m
fiðring	f ɪ ð r i ŋ k
fiðringur	f ɪ ð r i ŋ k ʏ r
fiðrið	f ɪ ð r ɪ ð
fiðursæng	f ɪ ð ʏ r s ai ŋ k
fjalar	f j aː l a r
fjalarsson	f j aː l a r s ɔ n
fjalhögg	f j a t l̥ h œ k
fjalhöggið	f j aː l h œ c ɪ ð
fjalir	f j aː l ɪ r
fjalirnar	f j aː l ɪ t n a r
fjall	f j a t l̥
fjalla	f j a t l a
fjallabaksleið	f j a t l a p a k s t l eiː ð
fjallalestinni	f j a t l a l ɛ s t ɪ n ɪ
fjallanna	f j a t l a n a
fjallar	f j a t l a r
fjallaði	f j a t l a ð ɪ
fjalldal	f j a l t a l
fjalldrapi	f j a l t r aː p ɪ
fjallgarðar	f j a t l̥ k a r ð a r
fjallgarðinn	f j a t l̥ k a r ð ɪ n
fjalli	f j a t l ɪ
fjallinu	f j a t l ɪ n ʏ
fjallið	f j a t l ɪ ð
fjallkirkju	f j a t l̥ cʰ ɪ r̥ c ʏ
fjallkonuna	f j a t l̥ kʰ ɔː n ʏ n a
fjallnykra	f j a t l̥ n ɪː k r a
fjalls	f j a l s
fjallsbrúninni	f j a l s p r u n ɪ n ɪ
fjallshlíðarnar	f j a l s l̥ i ð a t n a r
fjallsins	f j a l s ɪ n s
fjallsmynni	f j a l s m ɪ n ɪ
fjallsræturnar	f j a l s r ai t ʏ t n a r
fjallstindinum	f j a l s t ɪ n t ɪ n ʏ m
fjanda	f j a n t a
fjandann	f j a n t a n
fjandans	f j a n t a n s
fjandanum	f j a n t a n ʏ m
fjandi	f j a n t ɪ
fjandinn	f j a n t ɪ n
fjandsamleg	f j a n t s a m l ɛ ɣ
fjara	f j aː r a
fjaraði	f j aː r a ð ɪ
fjarlæg	f j a r l ai ɣ
fjarlæga	f j a r l ai ɣ a
fjarlægan	f j a r l ai ɣ a n
fjarlægar	f j a r l ai ɣ a r
fjarlægari	f j a r l ai ɣ a r ɪ
fjarlægist	f j a r l ai j ɪ s t
fjarlægjast	f j a r l ai j a s t
fjarlægra	f j a r l ai ɣ r a
fjarlægst	f j a r l ai x s t
fjarlægu	f j a r l ai ɣ ʏ
fjarlægum	f j a r l ai ɣ ʏ m
fjarlægur	f j a r l ai ɣ ʏ r
fjarlægðar	f j a r l ai ɣ ð a r
fjarlægði	f j a r l ai ɣ ð ɪ
fjarlægðin	f j a r l ai ɣ ð ɪ n
fjarlægðina	f j a r l ai ɣ ð ɪ n a
fjarlægðinni	f j a r l ai ɣ ð ɪ n ɪ
fjarlægðir	f j a r l ai ɣ ð ɪ r
fjarlægður	f j a r l ai ɣ ð ʏ r
fjarlægðust	f j a r l ai ɣ ð ʏ s t
fjarri	f j a r ɪ
fjarræn	f j a r ai n
fjarrænn	f j a r ai t n̥
fjarrænt	f j a r ai n̥ t
fjarska	f j a r̥ s k a
fjarskann	f j a r̥ s k a n
fjarskanum	f j a r̥ s k a n ʏ m
fjarskiptafyrirtækið	f j a r̥ s c ɪ f t a f ɪː r ɪ r t aiː c ɪ ð
fjarskynjun	f j a r̥ s c ɪ n j ʏ n
fjarstæða	f j a r̥ s t ai ð a
fjarstöddum	f j a r̥ s t œ t ʏ m
fjarstýringin	f j a r̥ s t i r i ɲ c ɪ n
fjarstýringuna	f j a r̥ s t i r i ŋ k ʏ n a
fjarstýringunni	f j a r̥ s t i r i ŋ k ʏ n ɪ
fjarverandi	f j a r v ɛ r a n t ɪ
fjarvistum	f j a r v ɪ s t ʏ m
fjarðabyggð	f j a r ð a p ɪ ɣ ð
fjarðabyggðar	f j a r ð a p ɪ ɣ ð a r
fjarðanet	f j a r ð a n ɛː t
fjarðar	f j a r ð a r
fjarðarins	f j a r ð a r ɪ n s
fjarðarkaupsapótek	f j a r ð a r k œy p s aː p ou t ɛ k
fjarðarkaupum	f j a r ð a r k œyː p ʏ m
fjarðaráin	f j a r ð a r auː ɪ n
fjarðaáls	f j a r ð a au l s
fjasa	f j aː s a
fjaðrafoki	f j a ð r a f ɔː c ɪ
fjaðrahamur	f j a ð r a h aː m ʏ r
fjaðrir	f j a ð r ɪ r
fjaðrirnar	f j a ð r ɪ t n a r
fjaðurstuðul	f j aː ð ʏ r s t ʏː ð ʏ l
fjendur	f j ɛ n t ʏ r
fjálglega	f j au l k l ɛ ɣ a
fjár	f j auː r
fjárans	f j auː r a n s
fjáranum	f j auː r a n ʏ m
fjárbú	f j au r p u
fjárfest	f j au r̥ f ɛ s t
fjárfestar	f j au r̥ f ɛ s t a r
fjárfesting	f j au r̥ f ɛ s t i ŋ k
fjárfestinga	f j au r̥ f ɛ s t i ŋ k a
fjárfestingin	f j au r̥ f ɛ s t i ɲ c ɪ n
fjárfestingum	f j au r̥ f ɛ s t i ŋ k ʏ m
fjárfestir	f j au r̥ f ɛ s t ɪ r
fjárfestum	f j au r̥ f ɛ s t ʏ m
fjárflestu	f j au r f l ɛ s t ʏ
fjárframlögum	f j au r̥ f r a m l œ ɣ ʏ m
fjárhags	f j auː r h a x s
fjárhagslegum	f j auː r h a x s t l ɛ ɣ ʏ m
fjárhagsáætlunar	f j auː r h a x s auː ai h t l ʏ n a r
fjárhagur	f j auː r h a ɣ ʏ r
fjárhirðir	f j auː r h ɪ r ð ɪ r
fjárhirðirinn	f j auː r h ɪ r ð ɪ r ɪ n
fjárhættuspil	f j auː r h ai h t ʏ s p ɪː l
fjárhæðina	f j auː r h ai ð ɪ n a
fjári	f j auː r ɪ
fjárinn	f j auː r ɪ n
fjárins	f j auː r ɪ n s
fjármagna	f j au r m a k n a
fjármagnar	f j au r m a k n a r
fjármagnað	f j au r m a k n a ð
fjármagnið	f j au r m a k n ɪ ð
fjármagns	f j au r m a k s
fjármuna	f j au r m ʏ n a
fjármunanna	f j au r m ʏ n a n a
fjármunir	f j au r m ʏ n ɪ r
fjármununum	f j au r m ʏ n ɔ n ʏ m
fjármálahliðin	f j au r m au l a l̥ ɪː ð ɪ n
fjármálalegum	f j au r m au l a l ɛ ɣ ʏ m
fjármögnun	f j au r m œ k n ʏ n
fjármögnunar	f j au r m œ k n ʏ n a r
fjármögnuð	f j au r m œ k n ʏ ð
fjársjóðinn	f j au r̥ s j ou ð ɪ n
fjársjóðnum	f j au r̥ s j ou ð n ʏ m
fjárvöntun	f j au r v œ n̥ t ʏ n
fjárvörsluþega	f j au r v œ r̥ s t l ʏ θ ɛː ɣ a
fjáður	f j auː ð ʏ r
fjær	f j aiː r
fjærst	f j ai r̥ s t
fjóla	f j ouː l a
fjólu	f j ouː l ʏ
fjólubláa	f j ouː l ʏ p l auː a
fjólubláan	f j ouː l ʏ p l auː a n
fjólubláir	f j ouː l ʏ p l auː i r
fjólublár	f j ouː l ʏ p l auː r
fjólublátt	f j ouː l ʏ p l au h t
fjólubláu	f j ouː l ʏ p l auː ʏ
fjólubláum	f j ouː l ʏ p l auː ʏ m
fjónu	f j ouː n ʏ
fjóra	f j ouː r a
fjórar	f j ouː r a r
fjórfalt	f j ou r̥ f a l̥ t
fjórgangi	f j ou r k au ɲ c ɪ
fjórgangur	f j ou r k au ŋ k ʏ r
fjórhjól	f j ou r̥ ç ou l
fjórir	f j ouː r ɪ r
fjórmenninganna	f j ou r m ɛ n i ŋ k a n a
fjórsundi	f j ou r̥ s ʏ n t ɪ
fjórtán	f j ou r̥ t au n
fjórtánda	f j ou r̥ t au n t a
fjórtándi	f j ou r̥ t au n t ɪ
fjórtándu	f j ou r̥ t au n t ʏ
fjórum	f j ouː r ʏ m
fjórða	f j ou r ð a
fjórði	f j ou r ð ɪ
fjórðu	f j ou r ð ʏ
fjórðung	f j ou r ð u ŋ k
fjórðungi	f j ou r ð u ɲ c ɪ
fjórðungnum	f j ou r ð u ŋ k n ʏ m
fjórðungur	f j ou r ð u ŋ k ʏ r
fjós	f j ouː s
fjósi	f j ouː s ɪ
fjósinu	f j ouː s ɪ n ʏ
fjósið	f j ouː s ɪ ð
fjögur	f j œː ɣ ʏ r
fjögurhundruð	f j œː ɣ ʏ r h ʏ n t r ʏ ð
fjögurleytið	f j œː ɣ ʏ r l eiː t ɪ ð
fjölbrautaskóla	f j œ l p r œy t a s k ouː l a
fjölbrautaskólans	f j œ l p r œy t a s k ouː l a n s
fjölbrautaskólanum	f j œ l p r œy t a s k ouː l a n ʏ m
fjölbreytnin	f j œ l p r ei h t n ɪ n
fjölbreytnina	f j œ l p r ei h t n ɪ n a
fjölbreytta	f j œ l p r ei h t a
fjölbreyttan	f j œ l p r ei h t a n
fjölbreyttar	f j œ l p r ei h t a r
fjölbreyttara	f j œ l p r ei h t a r a
fjölbreyttari	f j œ l p r ei h t a r ɪ
fjölbreyttri	f j œ l p r ei h t r ɪ
fjölbreyttu	f j œ l p r ei h t ʏ
fjölbreyttum	f j œ l p r ei h t ʏ m
fjölbreyttur	f j œ l p r ei h t ʏ r
fjölbýlishús	f j œ l p i l ɪ s h uː s
fjölbýlishúsi	f j œ l p i l ɪ s h uː s ɪ
fjölbýlishúsum	f j œ l p i l ɪ s h uː s ʏ m
fjöld	f j œ l t
fjölda	f j œ l t a
fjöldahjálparstöðina	f j œ l t a ç au l̥ p a r s t œː ð ɪ n a
fjöldamorða	f j œ l t a m ɔ r ð a
fjöldann	f j œ l t a n
fjöldanum	f j œ l t a n ʏ m
fjöldi	f j œ l t ɪ
fjöldinn	f j œ l t ɪ n
fjölga	f j œ l k a
fjölgandi	f j œ l k a n t ɪ
fjölgar	f j œ l k a r
fjölgað	f j œ l k a ð
